,Country Name,Country Border Name,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017
0,United Arab Emirates,Oman,6.853,,
1,United Arab Emirates,Saudi Arabia,6.4110000000000005,6.379,6.343999862670901
2,Afghanistan,China,5.14,5.245,5.2729997634887695
3,Afghanistan,Iran,4.686,4.813,4.69199991226196
4,Afghanistan,Pakistan,5.194,5.1320000000000014,5.26900005340576
5,Afghanistan,Tajikistan,4.7860000000000005,4.996,5.04099988937378
6,Afghanistan,Turkmenistan,5.547999999999999,5.658,5.82200002670288
7,Afghanistan,Uzbekistan,6.002999999999999,5.987,5.97100019454956
8,Albania,Greece,4.857,5.033,5.227000236511231
9,Albania,Montenegro,5.192,5.1610000000000005,5.23699998855591
10,Albania,Macedonia,5.007,5.121,5.1750001907348615
11,Albania,Serbia,5.122999999999998,5.1770000000000005,5.39499998092651
12,Armenia,Azerbaijan,5.2120000000000015,5.291,5.2340002059936515
13,Armenia,Georgia,4.297,4.252,4.28599977493286
14,Armenia,Iran,4.686,4.813,4.69199991226196
15,Armenia,Turkey,5.332000000000002,5.3889999999999985,5.5
16,Angola,Togo,2.839,3.303,3.4949998855590803
17,Angola,Togo,2.839,3.303,3.4949998855590803
18,Angola,Namibia,,4.574,4.57399988174438
19,Angola,Zambia,5.129,4.795,4.513999938964839
20,Argentina,Brazil,6.983,6.952000000000001,6.63500022888184
21,Argentina,Chile,6.67,6.705,6.65199995040894
22,Argentina,Paraguay,5.877999999999999,5.5379999999999985,5.493000030517581
23,Argentina,Uruguay,6.485,6.545,6.4539999961853
24,Austria,Czech Republic,6.505,6.596,6.60900020599365
25,Austria,Germany,6.75,6.994,6.9510002136230495
26,Austria,Hungary,4.8,5.145,5.32399988174438
27,Austria,Italy,5.948,5.977,5.96400022506714
28,Austria,Slovakia,5.995,6.0779999999999985,6.09800004959106
29,Austria,Slovenia,5.848,5.768,5.75799989700317
30,Austria,Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833
